Main Category	Sub-Category	Hierarchy Path	Component Role	Constraint Text	Subcategory Min Qty	Subcategory Max Qty	Table Rule/Note	Product #	Option Type	Description	Current Qty	Unit Price (USD)	Price Delta (USD)	Extended Price (USD)	Price per GB (USD)	HPE Recommended	Availability	Lead Time	Lead Time Source	Lifecycle Status	Start Date	Discontinued Date	Vendor Attributes (JSON)	Diff Status	Previous List Price (USD)	Price Change (USD)	Price Change (%)	Price History Trail
Chassis	Variants	HPE OCA > DL580 Gen12 > Chassis > Variants	Base Chassis	min 1, max 1	1	1	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis	P75399-B21	CTO	HPE ProLiant Compute DL580 Gen12 SFF Configure-to-order Server	1	9950.00				Yes	Available in OCA product catalog		Not published by OCA	Active				ATTRIBUTE_CHANGED	9950.00	$0.00	0.00%	2026-09-09: $9950.00 → 2026-09-13: $9950.00
Accessories & Infrastructure	Energy Star Configuration Presets	HPE OCA > DL580 Gen12 > Accessories & Infrastructure > Energy Star Configuration Presets	Chassis Infrastructure	max 1	0	1	Selection constraint for Energy Star Configuration Presets: max 1	P68503-B21	Standard	ENERGY STAR 4.0 FIO Trigger Configuration Kit for HPE	0	1.00		NA		No	Available		Not published by OCA	Active	12/04/2023	05/31/2028	{"Extended Price (USD)":"NA"}	ATTRIBUTE_CHANGED	1.00	$0.00	0.00%	2026-09-09: $1.00 → 2026-09-13: $1.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P74508-B21	Standard	Intel Xeon 6714P 4.0GHz 8-core 165W Processor for HPE	0	8941.00	-2,133.00	17,882.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"-2,133.00","Extended Price (USD)":"17,882.00"}	ATTRIBUTE_CHANGED	8941.00	$0.00	0.00%	2026-09-09: $8941.00 → 2026-09-13: $8941.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P74509-B21	Standard	Intel Xeon 6724P 3.6GHz 16-core 210W Processor for HPE	2	11074.00	Selected	22,148.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"Selected","Extended Price (USD)":"22,148.00"}	ATTRIBUTE_CHANGED	11074.00	$0.00	0.00%	2026-09-09: $11074.00 → 2026-09-13: $11074.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P73835-B21	Standard	Intel Xeon 6768P 2.4GHz 64-core 330W Processor for HPE	0	48922.00	+37,848.00	97,844.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"+37,848.00","Extended Price (USD)":"97,844.00"}	ATTRIBUTE_CHANGED	48922.00	$0.00	0.00%	2026-09-09: $48922.00 → 2026-09-13: $48922.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P73838-B21	Standard	Intel Xeon 6788P 2.0GHz 86-core 350W Processor for HPE	0	58094.00	+47,020.00	116,188.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"+47,020.00","Extended Price (USD)":"116,188.00"}	ATTRIBUTE_CHANGED	58094.00	$0.00	0.00%	2026-09-09: $58094.00 → 2026-09-13: $58094.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P74572-B21	Standard	Intel Xeon 6728P 2.7GHz 24-core 210W Processor for HPE	0	7493.00	-3,581.00	14,986.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"-3,581.00","Extended Price (USD)":"14,986.00"}	ATTRIBUTE_CHANGED	7493.00	$0.00	0.00%	2026-09-09: $7493.00 → 2026-09-13: $7493.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P74577-B21	Standard	Intel Xeon 6738P 2.9GHz 32-core 270W Processor for HPE	0	17305.00	+6,231.00	34,610.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"+6,231.00","Extended Price (USD)":"34,610.00"}	ATTRIBUTE_CHANGED	17305.00	$0.00	0.00%	2026-09-09: $17305.00 → 2026-09-13: $17305.00
Processor	Processor	HPE OCA > DL580 Gen12 > Processor > Processor	Processor	min 1, max 4	1	4	Selection constraint for Processor: max 4	P74579-B21	Standard	Intel Xeon 6748P 2.5GHz 48-core 300W Processor for HPE	0	38913.00	+27,839.00	77,826.00		No	Available		Not published by OCA	Active	06/02/2025	06/30/2029	{"Price Delta (USD)":"+27,839.00","Extended Price (USD)":"77,826.00"}	ATTRIBUTE_CHANGED	38913.00	$0.00	0.00%	2026-09-09: $38913.00 → 2026-09-13: $38913.00
Cables & Enablement Kits	Standard & Performance Heat Sinks	HPE OCA > DL580 Gen12 > Cables & Enablement Kits > Standard & Performance Heat Sinks	Cable Kit	max 1	0	1	Selection constraint for Standard & Performance Heat Sinks: max 1	P80383-B21	CTO	HPE ProLiant Compute DL580 Gen12 UPI 2P FIO Cable Kit	1	710.00		710.00		Yes	Available		Not published by OCA	Active	06/02/2025	10/31/2028	{"Extended Price (USD)":"710.00"}	ATTRIBUTE_CHANGED	710.00	$0.00	0.00%	2026-09-09: $710.00 → 2026-09-13: $710.00
